id,type,platform,status,submitted_date,live_url,notes,last_attempt,agent_notes,verified,backlink_type
foursquare,directory,Foursquare,pending,,,,,,,
alignable,directory,Alignable,pending,,,,,,,
homeguide-ca,directory,HomeGuide Canada,pending,,,,,,,
renovationfind,directory,RenovationFind,pending,,,,,,,
midland-chamber,directory,Midland-Penetanguishene & District Chamber of Commerce,pending,,,,,,,
cca,directory,Canadian Construction Association,pending,,,,,,,
localsearch411,directory,LocalSearch411,pending,,,,,,,
n49,directory,n49,pending,,,,,,,
yalwa-ca,directory,Yalwa Canada,pending,,,,,,,
tuugo-ca,directory,Tuugo Canada,pending,,,,,,,
infobel-ca,directory,Infobel Canada,pending,,,,,Seeded from 150-citation expansion,,
weblocal-ca,directory,WebLocal Canada,pending,,,,,Seeded from 150-citation expansion,,
barrie-chamber-directory,directory,Barrie Chamber Directory,pending,,,Member directory list — membership may be required.,,Seeded from 150-citation expansion,,
barrie-today-directory,directory,BarrieToday Business Directory,pending,,,,,Seeded from 150-citation expansion,,
bradford-today-directory,directory,BradfordToday Business Directory,pending,,,,,Seeded from 150-citation expansion,,
city-barrie-business-directory,directory,City of Barrie Business Directory,pending,,,,,Seeded from 150-citation expansion,,
collingwood-today-directory,directory,CollingwoodToday Business Directory,pending,,,,,Seeded from 150-citation expansion,,
innisfil-today-directory,directory,Innisfil Today Directory,pending,,,,,Seeded from 150-citation expansion,,
invest-barrie,directory,Invest Barrie,pending,,,,,Seeded from 150-citation expansion,,
kijiji-barrie-services,directory,Kijiji Barrie Local Services,pending,,,,,Seeded from 150-citation expansion,,
localsin-barrie,directory,LocalsIn Barrie Directory,pending,,,,,Seeded from 150-citation expansion,,
midland-today-directory,directory,MidlandToday Business Directory,pending,,,,,Seeded from 150-citation expansion,,
nextdoor-barrie,directory,Nextdoor Business,pending,,,,,Seeded from 150-citation expansion,,
ontario-business-registry,directory,Ontario Business Registry,pending,,,Government registry — not a classic citation; confirm listing eligibility.,,Seeded from 150-citation expansion,,
orillia-matters-directory,directory,OrilliaMatters Business Directory,pending,,,,,Seeded from 150-citation expansion,,
simcoe-community-reach,directory,Simcoe County Community Services Directory,pending,,,,,Seeded from 150-citation expansion,,
simcoe-com-directory,directory,Simcoe.com Business Directory,pending,,,,,Seeded from 150-citation expansion,,
2findlocal-ca,directory,2FindLocal Canada,pending,,,,,Seeded from 150-citation expansion,,
aboutme,directory,About.me Business Profiles,pending,,,,,Seeded from 150-citation expansion,,
allpages,directory,AllPages Business Directory,pending,,,,,Seeded from 150-citation expansion,,
b2b-yellowpages,directory,B2B Yellow Pages,pending,,,,,Seeded from 150-citation expansion,,
bdpages,directory,BD Pages,pending,,,,,Seeded from 150-citation expansion,,
bizmap-ca,directory,BizMap Canada,pending,,,,,Seeded from 150-citation expansion,,
bizwiki,directory,BizWiki,pending,,,,,Seeded from 150-citation expansion,,
black-business-direct-ca,directory,Black Business Direct Canada,pending,,,,,Seeded from 150-citation expansion,,
business-directory-canada,directory,Business Directory Canada,pending,,,,,Seeded from 150-citation expansion,,
businessmention-ca,directory,Business Mention Canada,pending,,,,,Seeded from 150-citation expansion,,
callupcontact,directory,CallUpContact,pending,,,,,Seeded from 150-citation expansion,,
canadaone,directory,Canada One Business Directory,pending,,,,,Seeded from 150-citation expansion,,
canadaspace,directory,Canada Space,pending,,,,,Seeded from 150-citation expansion,,
canadawebdir,directory,Canada Web Dir,pending,,,,,Seeded from 150-citation expansion,,
canada-co,directory,Canada-Co Directory,pending,,,,,Seeded from 150-citation expansion,,
canadian-business-directory,directory,Canadian Business Directory,pending,,,,,Seeded from 150-citation expansion,,
canadian-business-network,directory,Canadian Business Network,pending,,,,,Seeded from 150-citation expansion,,
canadian-directory-submission,directory,Canadian Directory Submission,pending,,,,,Seeded from 150-citation expansion,,
cityfos,directory,CityFOS Canada,pending,,,,,Seeded from 150-citation expansion,,
citysquares,directory,CitySquares,pending,,,,,Seeded from 150-citation expansion,,
clickblue-ca,directory,ClickBlue Canada,pending,,,,,Seeded from 150-citation expansion,,
contactcanada,directory,Contact Canada,pending,,,,,Seeded from 150-citation expansion,,
cylex-international,directory,Cylex International,pending,,,,,Seeded from 150-citation expansion,,
dakitaki,directory,DakiTaki,pending,,,,,Seeded from 150-citation expansion,,
dexknows,directory,DexKnows Marketplace,pending,,,,,Seeded from 150-citation expansion,,
directory-central-ca,directory,Directory Central Canada,pending,,,,,Seeded from 150-citation expansion,,
enrollbusiness-ca,directory,Enroll Business Canada,pending,,,,,Seeded from 150-citation expansion,,
firmscan,directory,Firmscan,pending,,,,,Seeded from 150-citation expansion,,
freeindex,directory,FreeIndex,pending,,,,,Seeded from 150-citation expansion,,
fyple-ca,directory,Fyple Canada,pending,,,,,Seeded from 150-citation expansion,,
getfreelisting,directory,Get Free Listing,pending,,,,,Seeded from 150-citation expansion,,
goldbook-ca,directory,Goldbook Canada,pending,,,,,Seeded from 150-citation expansion,,
here-mapcreator,directory,HERE Technologies Map Creator,pending,,,,,Seeded from 150-citation expansion,,
hubbiz,directory,Hubbiz,pending,,,,,Seeded from 150-citation expansion,,
icri-ca,directory,ICRI Canadian Business Directory,pending,,,,,Seeded from 150-citation expansion,,
insiderpages,directory,InsiderPages,pending,,,,,Seeded from 150-citation expansion,,
iwebdirectory-ca,directory,iWebDirectory Canada,pending,,,,,Seeded from 150-citation expansion,,
kudzu,directory,Kudzu Local Business Hub,pending,,,,,Seeded from 150-citation expansion,,
localbiznetwork-ca,directory,Local Biz Network Canada,pending,,,,,Seeded from 150-citation expansion,,
local-com,directory,Local.com Marketplace,pending,,,,,Seeded from 150-citation expansion,,
locanto-ca,directory,Locanto Canada,pending,,,,,Seeded from 150-citation expansion,,
mapquest-business,directory,MapQuest Business Listings,pending,,,,,Seeded from 150-citation expansion,,
merchantcircle,directory,MerchantCircle,pending,,,,,Seeded from 150-citation expansion,,
misterwhat-ca,directory,MisterWhat Canada,pending,,,,,Seeded from 150-citation expansion,,
mysheriff-ca,directory,My Sheriff Canada,pending,,,,,Seeded from 150-citation expansion,,
opendi-ca,directory,Opendi Canada,pending,,,,,Seeded from 150-citation expansion,,
ourbis,directory,OurBis,pending,,,,,Seeded from 150-citation expansion,,
phonepages-ca,directory,Phone Pages Canada,pending,,,,,Seeded from 150-citation expansion,,
relevant-directory-ca,directory,Relevant Directory Canada,pending,,,,,Seeded from 150-citation expansion,,
salespider,directory,SaleSpider,pending,,,,,Seeded from 150-citation expansion,,
shopincanada,directory,Shop In Canada,pending,,,,,Seeded from 150-citation expansion,,
smartbusinessguide,directory,SmartBusiness Guide,pending,,,,,Seeded from 150-citation expansion,,
spoke,directory,Spoke Business Directory,pending,,,,,Seeded from 150-citation expansion,,
storeboard-ca,directory,Storeboard Canada,pending,,,,,Seeded from 150-citation expansion,,
superpages,directory,SuperPages Global,pending,,,,,Seeded from 150-citation expansion,,
techdirectory,directory,TechDirectory,pending,,,,,Seeded from 150-citation expansion,,
tomtom-mapshare,directory,TomTom Map Share Reporter,pending,,,,,Seeded from 150-citation expansion,,
trycanada,directory,Try Canada,pending,,,,,Seeded from 150-citation expansion,,
uscity,directory,USCity Network,pending,,,,,Seeded from 150-citation expansion,,
whereto,directory,WhereTo,pending,,,,,Seeded from 150-citation expansion,,
yellowbot,directory,YellowBot,pending,,,,,Seeded from 150-citation expansion,,
yellowplace,directory,YellowPlace,pending,,,,,Seeded from 150-citation expansion,,
yext,directory,Yext Network Portal,pending,,,Aggregator — may be paid.,,Seeded from 150-citation expansion,,
zipleaf-ca,directory,Zipleaf Canada,pending,,,,,Seeded from 150-citation expansion,,
angi,directory,Angi Professional,pending,,,,,Seeded from 150-citation expansion,,
architectural-digest-pro,directory,Architectural Digest Pro Directory,pending,,,,,Seeded from 150-citation expansion,,
bark-ca,directory,Bark Canada Trades Directory,pending,,,,,Seeded from 150-citation expansion,,
bild-gta,directory,BILD Member Directory,pending,,,GTA-focused; explore supplier/partner listing.,,Seeded from 150-citation expansion,,
bluebook,directory,Blue Book Building & Construction Network,pending,,,,,Seeded from 150-citation expansion,,
bob-vila,directory,Bob Vila Approved Contractors,pending,,,,,Seeded from 150-citation expansion,,
buildcanada,directory,BuildCanada Directory,pending,,,,,Seeded from 150-citation expansion,,
buildzoom,directory,BuildZoom,pending,,,,,Seeded from 150-citation expansion,,
chba,directory,Canadian Home Builders' Association Directory,pending,,,Membership may be required.,,Seeded from 150-citation expansion,,
capterra-ca,directory,Capterra Canada,pending,,,Only if commercial software/services fit.,,Seeded from 150-citation expansion,,
concrete-contractors-assoc,directory,Concrete & Masonry Contractors Association,pending,,,,,Seeded from 150-citation expansion,,
constructconnect,directory,ConstructConnect Project Network,pending,,,,,Seeded from 150-citation expansion,,
construction-canada,directory,Construction Canada Registry,pending,,,,,Seeded from 150-citation expansion,,
constructionlinks,directory,ConstructionLinks Network,pending,,,,,Seeded from 150-citation expansion,,
contractor-directory-ca,directory,Contractor Directory Canada,pending,,,,,Seeded from 150-citation expansion,,
contractorall,directory,ContractorAll,pending,,,,,Seeded from 150-citation expansion,,
contractorhub,directory,ContractorHub,pending,,,,,Seeded from 150-citation expansion,,
crunchbase,directory,Crunchbase Company Registry,pending,,,,,Seeded from 150-citation expansion,,
dcn-constructconnect,directory,Daily Commercial News Construction Directory,pending,,,,,Seeded from 150-citation expansion,,
econtractor-ca,directory,EContractor,pending,,,,,Seeded from 150-citation expansion,,
equipmentworld,directory,EquipmentWorld Contractor Network,pending,,,,,Seeded from 150-citation expansion,,
fine-homebuilding,directory,Fine Homebuilding Directory,pending,,,,,Seeded from 150-citation expansion,,
fixr,directory,Fixr Professional Network,pending,,,,,Seeded from 150-citation expansion,,
general-contractors-assoc,directory,General Contractors Association Directory,pending,,,,,Seeded from 150-citation expansion,,
gottarenovate,directory,GottaRenovate,pending,,,,,Seeded from 150-citation expansion,,
handyamerican,directory,HandyAmerican Contractor Directory,pending,,,,,Seeded from 150-citation expansion,,
homeadvisor,directory,HomeAdvisor Pro,pending,,,,,Seeded from 150-citation expansion,,
homeimprovement411,directory,HomeImprovement411,pending,,,,,Seeded from 150-citation expansion,,
mybuilder-ca,directory,MyBuilder Canada,pending,,,,,Seeded from 150-citation expansion,,
ohba,directory,Ontario Home Builders' Association Directory,pending,,,Membership may be required.,,Seeded from 150-citation expansion,,
porch,directory,Porch Contractor Network,pending,,,,,Seeded from 150-citation expansion,,
promatcher,directory,ProMatcher Construction Services,pending,,,,,Seeded from 150-citation expansion,,
renofiles,directory,RenoFiles Canada,pending,,,,,Seeded from 150-citation expansion,,
renomark,directory,RenoMark Canada,pending,,,,,Seeded from 150-citation expansion,,
smartrenovations,directory,SmartRenovations Directory,pending,,,,,Seeded from 150-citation expansion,,
sweets-construction,directory,Sweet's Construction Network,pending,,,,,Seeded from 150-citation expansion,,
taskrabbit,directory,TaskRabbit Tasker Registry,pending,,,,,Seeded from 150-citation expansion,,
thumbtack,directory,Thumbtack for Professionals,pending,,,,,Seeded from 150-citation expansion,,
zoominfo,directory,ZoomInfo Business Index,pending,,,,,Seeded from 150-citation expansion,,
